en_src_word,en_word,de_word,bn_word,ru_word
berate,berate,beschimpfen,চোপা করা,бранить
bereavement,bereavement,trauerfall,আত্মীয়ের মৃতু্য,тяжелая утрата
berserk,berserk,berserker,পাগল,неистовый
beseeching,beseeching,flehend,সানুনয়,умоляющий
besides,besides,außerdem,ব্যতীত,кроме
besiege,besiege,belagern,নিরোধ করা,осаждать
besiegement,besiegement,belagerung,ঘেরাত্ত,осада
bespectacled,bespectacled,bebrillt,চশমা পরা,носящий очки
bestowal,bestowal,verleihung,দান,награждение
betray,betray,verraten,গুপ্তরহস্য প্রকাশ করা,предавать
betrayal,betrayal,verrat,বিশ্বাসঘাতকতা,предательство
betrothed,betrothed,verlobt,বাগদত্তা,обручена
better,better,besser,উত্তম,лучше
betting,betting,wetten,পণ,делать ставки
bewilderment,bewilderment,verwirrung,বিহ্বলতা,недоумение
bewitching,bewitching,bezaubernd,মনোরম,чарующий
bewitchment,bewitchment,verzauberung,কুহক,колдовство
beyond,beyond,darüber hinaus,তার পরেও,за
bias,bias,vorspannen,পক্ষপাত,смещение
bib,bib,lätzchen,বারংবার পান করা,нагрудник
bible,bible,bibel,বাইবেল,библия
bibliographic,bibliographic,bibliographisch,গ্রন্থ-পঁজীর,библиографический
bicarbonate,bicarbonate,bikarbonat,অঙ্গারজলবণবিশেষ,бикарбонат
bicker,bicker,zanken,বকাবকি,пререкаться
bicycle,bicycle,fahrrad,সাইকেল,велосипед
bidder,bidder,bieter,যে নিকাম ডাকে,претендент
bidding,bidding,bieten,আদেশ,торги
bide,bide,abwarten,বরদাস্ত করা,выжидать
bidirectional,bidirectional,bidirektional,দ্বিমুখী,двунаправленный
big,big,groß,বড়,большой
bigamy,bigamy,bigamie,দুই পত্নী গ্রহণ,двоеженство
bigot,bigot,frömmler,ধর্মান্ধ,изувер
bigotry,bigotry,fanatismus,ধর্মান্ধতা,фанатизм
bile,bile,galle,পিত্ত,желчь
bilingual,bilingual,zweisprachig,দ্বিভাষিক,двуязычный
bill,bill,rechnung,বিল,законопроект
billfold,billfold,brieftasche,পকেট ব্যাগ,бумажник
billiards,billiards,billard,বিলিয়ার্ড,бильярд
billing,billing,abrechnung,বিলিং,биллинг
billion,billion,milliarde,বিলিয়ন,миллиард
bimonthly,bimonthly,zweimonatlich,দ্বিমাসিক,раз в два месяца
binding,binding,bindung,বাঁধাই,переплет
binocular,binocular,fernglas,দ্বিনেত্র,бинокулярный
binomial,binomial,binomial-,দ্বিপদ,бином
biochemically,biochemically,biochemisch,প্রাণরসায়নভিত্তিক,биохимически
biochemist,biochemist,biochemiker,প্রাণরসায়নবিৎ,биохимик
biochemistry,biochemistry,biochemie,প্রাণরসায়ন,биохимия
biodiversity,biodiversity,biodiversität,জীব বৈচিত্র্য,биоразнообразия
biographer,biographer,biograph,জীবনীকার,биограф
biologist,biologist,biologe,জীববিজ্ঞানী,биолог
biomedical,biomedical,biomedizinisch,বায়োমেডিকেল,биомедицинские
biophysical,biophysical,biophysikalisch,বায়োফিজিক্যাল,биофизических
biophysicist,biophysicist,biophysiker,জৈবপদার্থবিদ,биофизик
biopsy,biopsy,biopsie,বায়োপসি,биопсия
biosphere,biosphere,biosphäre,জীবমণ্ডল,биосфера
biosynthesis,biosynthesis,biosynthese,বায়োসিন্থেসিসের,биосинтез
biotechnology,biotechnology,biotechnologie,জৈবপ্রযুক্তি,биотехнология
birdie,birdie,piepmatz,পাখিসোনা,птичка
birth,birth,geburt,জন্ম,рождение
birthday,birthday,geburtstag,জন্মদিন,день рождения
birthplace,birthplace,geburtsort,জন্মস্থান,место рождения
birthright,birthright,geburtsrecht,জন্মাধিকার,право по рождению
bisexual,bisexual,bisexuell,উভলিঙ্গ,бисексуал
bisque,bisque,biskuit,বিসকুট,фора
bite,bite,beißen,দান্ত দিয়া ফুটা করা,укусить
bitten,bitten,gebissen,দংশিত,укушенный
biweekly,biweekly,zweiwöchentlich,দ্বিসাপ্তাহিক,раз в две недели
bizarre,bizarre,bizarr,উদ্ভট,эксцентричный
black,black,schwarz,কালো,черный
blackboard,blackboard,tafel,বিদ্যালয়ে লিপির জন্য তক্তা,классная доска
blackish,blackish,schwärzlich,কালচে,черноватый
blackmail,blackmail,erpressung,ব্ল্যাকমেল,шантажировать
blackmailer,blackmailer,erpresser,যে ব্যক্তি ব্ল্যাকমেল করে,шантажист
blade,blade,klinge,ব্লেড,лопасть
blame,blame,schuld,দোষ,вина
blameless,blameless,untadelig,নিখুঁত,безупречный
blaming,blaming,beschuldigen,অনুযোগ,обвинять
bland,bland,fade,স্নিগ্ধ,ласковый
blandish,blandish,schönreden,মানান,задабривать
blanketing,blanketing,überdecken,কম্বলের কাপড়,материал для одеял
blankly,blankly,verständnislos,অসহায়ভাবে,безучастно
blasphemous,blasphemous,blasphemisch,ধর্মহীন,богохульный
blast,blast,sprengen,বিস্ফোরণ,взрыв
blasting,blasting,sprengen,লোকসান,взрывные работы
blaze,blaze,flamme,আলোকচ্ছটা,полыхать
blazing,blazing,lodernd,গন্গনে,полыхающий
bleary,bleary,trübe,ঝাপসা,затуманенный
bleeder,bleeder,bluter,রক্তমোক্ষণকারী,вымогатель
bleeding,bleeding,blutung,যুদ্ধপীড়িত,кровотечение
blemish,blemish,makel,কলঙ্ক,порок
blend,blend,mischung,মিশ্রণ,смесь
blended,blended,vermischt,ব্লেনডেড,смешанный
blessed,blessed,gesegnet,সুখী,благословенный
blessedness,blessedness,glückseligkeit,সৌভাগ্য,блаженство
blessing,blessing,segen,বর,благословение
blessings,blessings,segen,দোয়া,благословения
blindness,blindness,blindheit,অন্ধত্ব,слепота
blinking,blinking,blinkend,লক্ষ্মীছাড়া,моргание
bliss,bliss,glückseligkeit,সুখ,блаженство
blissful,blissful,glückselig,সুখী,блаженный
blithely,blithely,munter,খুশিমনে,беспечно
blob,blob,klecks,ফোঁটা,капля
blockage,blockage,blockierung,প্রতিবন্ধকতা,блокировка
blocking,blocking,blockierung,রোধক,блокирование
blockish,blockish,blockartig,ভোঁতা,тупой
blogosphere,blogosphere,blogosphäre,ব্লগোস্ফিয়ার,блогосфера
bloodbath,bloodbath,blutbad,রক্তগঙ্গা,бойня
bloodhound,bloodhound,bluthund,গোয়েন্দা,ищейка
bloodless,bloodless,unblutig,রক্তপাতহীন,бескровный
bloodsucker,bloodsucker,blutsauger,রক্তচোষা,пиявка
bloody,bloody,blutig,রক্তাক্ত,кровавый
blot,blot,fleck,কলঙ্ক,пятно
blotched,blotched,fleckig,রঙ কালি প্রভৃতির দাগযুক্ত,покрытый пятнами
blouse,blouse,bluse,ব্লাউজ,блузка
blower,blower,gebläse,হাপর,воздуходувка
blubber,blubber,speck,অশ্রুপাত,выпячивающийся
blue,blue,blau,নীল,синий
blueberry,blueberry,blaubeere,ব্লুবেরি,черника
blueprint,blueprint,entwurf,প্রতিচিত্র,план
blunder,blunder,schnitzer,সাঙ্ঘাতিক ভুল,просчет
blunted,blunted,abgestumpft,ভোঁতা,притупленный
bluntly,bluntly,unverblümt,স্পষ্টভাবে,прямо
blurry,blurry,verschwommen,ঝাপসা,размыто
blush,blush,erröten,বক্তিমাভা,румянец
boarder,boarder,grenzgänger,বোর্ডিং স্কুলের ছাত্র,нахлебник
bobsled,bobsled,bobfahren,দুইখানি ছোট শ্লেজ জুড়িয়া তৈয়ারী শ্লেজ,бобслей
bodied,bodied,körperreich,সাকার,работоспособных
bodily,bodily,körperlich,শারীরিক,телесный
bodyguard,bodyguard,leibwächter,দেহরক্ষী,телохранитель
bogus,bogus,falsch,বাজে,фиктивный
bohemian,bohemian,bohemien,ভবঘুরে ধরনের লোক,богемский
boil,boil,kochen,ফুটান,кипятить
boiled,boiled,gekocht,সিদ্ধ,вареный
boisterous,boisterous,ausgelassen,ভীম,неистовый
boisterousness,boisterousness,ausgelassenheit,চাঞ্চল্য,бурность
bold,bold,fett gedruckt,সাহসী,жирный
boldly,boldly,mutig,নির্ভয়ে,смело
boldness,boldness,mut,নির্লজ্জতা,смелость
bolster,bolster,nackenrolle,তাকিয়া,поддерживать
bolting,bolting,schraubend,ঝাড়াই করা,отсеивание
bomb,bomb,bombe,বোমা,бомбить
bonanza,bonanza,goldgrube,সমৃদ্ধি,золотое дно
bond,bond,bindung,বন্ধন,связь
bondman,bondman,sklave,ক্রীতদাস,поручитель
bone,bone,knochen,হাড়,кость
bonfire,bonfire,feuer,অগ্ন্যুত্সব,костер
bonkers,bonkers,bonbons,পাগলাটে,помешанный
bonnet,bonnet,motorhaube,শিরাবরণ,капот
booby,booby,sprengfallen,উদো,балбес
booger,booger,popel,বুগার,козявка
book,book,buch,বই,книга
bookbinding,bookbinding,buchbinderei,মলাট,переплетный
bookcase,bookcase,bücherregal,বই রাখিবার আলমারি,книжный шкаф
booker,booker,bucher,বুকার,бухгалтер
bookie,bookie,buchmacher,গ্রন্থসঙ্কলক,букмекер
bookish,bookish,bücherwurm,কেতাবি,книжный
booklet,booklet,broschüre,পুস্তিকা,буклет
bookman,bookman,buchhalter,পণ্ডিত,литератор
bookmark,bookmark,lesezeichen,বুকমার্ক,закладка
booming,booming,boomt,কৃতকর্মা,растущий
boost,boost,steigern,সাহায্য,увеличение
booth,booth,stand,চালাঘর,стенд
booting,booting,booten,বুট করার,загрузка
bootless,bootless,nutzlos,নগ্নপদ,бесполезный
boots,boots,stiefel,বুট,ботинки
booze,booze,saufen,মাল,выпивка
boozer,boozer,säufer,নেশাখোর,алкаш
boozy,boozy,feucht,মদ্যপ,поддатый
bordello,bordello,bordell,বেশ্যালয়,бордель
bordered,bordered,umrandet,সীমান্তে,окаймленный
bore,bore,langweilen,বিরক্ত,расточка
bored,bored,gelangweilt,উদাস,скучающий
born,born,geboren,স্বভাবসিদ্ধ,родился
borough,borough,bezirk,যে নগরে পৌরসভা আছে,район
borrow,borrow,leihen,ধার করা,заимствовать
borrowing,borrowing,leihen,গ্রহণ,заимствование
bosom,bosom,busen,বক্ষ,лоно
botanic,botanic,botanisch,উদ্ভিদ্বিদ্যাসংক্রান্ত,ботанический
botanically,botanically,botanisch,উদ্ভিদবিদ্যা,ботанике
botanist,botanist,botaniker,উদ্ভিদ্বিজ্ঞানী,ботаник
botany,botany,botanik,উদ্ভিদ্তত্ব,ботаника
botch,botch,murks,বিশ্রী দাগ,заплата
bother,bother,mühe,মাথা ঘামান,беспокоить
bothersome,bothersome,lästig,বিরক্তিকর,надоедливый
bottled,bottled,flaschen-,বোতলজাত,баллоны
bottleneck,bottleneck,engpass,বোতলের গলা,горлышко бутылки
bottomed,bottomed,mit dem boden,কারণগত,дном
bottomless,bottomless,bodenlos,অতল,бездонный
botulism,botulism,botulismus,খাদ্যাদি বিষাক্ত হত্তন,ботулизм
bought,bought,gekauft,কেনা,купил
boulder,boulder,felsblock,নুড়ি,валун
bouncer,bouncer,türsteher,ষণ্ড,вышибала
bouncing,bouncing,hüpfend,দম্ভ করে এমন,прыгающий
bouncy,bouncy,federnd,বাউন্সি,жизнерадостный
bound,bound,gebunden,আবদ্ধ,связанный
boundary,boundary,grenze,সীমানা,граница
bounding,bounding,grenzend,সীমান্ত,ограничивающая
boundless,boundless,grenzenlos,অপার,беспредельный
bountiful,bountiful,freigebig,উদার,обильный
bovine,bovine,rinder-,জড়বুদ্ধি,бычий
bow,bow,bogen,নম,лук
bowels,bowels,eingeweide,গর্ভ,кишечник
bowl,bowl,schüssel,বাটি,миска
bowstring,bowstring,bogensehne,জ্যা,тетива
boxcar,boxcar,güterwagen,ওয়াগনের,грузовой вагон
boxing,boxing,boxen,বক্সিং,заниматься боксом
boyfriend,boyfriend,freund,প্রেমিক,дружок
boyhood,boyhood,kindheit,বাল্যকাল,отрочество
boyish,boyish,jungenhaft,বালকসুলভ,мальчишеский
bra,bra,bh,ব্রা,бюстгальтер
brace,brace,klammer,যুগল,распорка
braces,braces,hosenträger,ধনুর্বন্ধনী,фигурные скобки
bracing,bracing,verspannung,সম্বন্ধ,бодрящий
bracket,bracket,klammer,বন্ধনী,скобка
brag,brag,prahlen,জাঁক,хвастать
braid,braid,flechten,বিনুনি,оплетка
brainchild,brainchild,geisteskind,উদ্ভাবন,замысел
braised,braised,geschmort,অল্প আঁচে রান্না করা,тушеный
bramble,bramble,brombeere,কাঁটাঝোপ,ежевика
branded,branded,gebrandmarkt,দাগী,заклеймили
brassy,brassy,blechern,পিত্তলবৎ,бесстыдный
bravado,bravado,bravour,বাহাদুরি,бравада
brave,brave,mutig,সাহসী,храбрый
brawny,brawny,muskulös,পেশীবহুল,мускулистый
brazier,brazier,kohlebecken,তাম্রকার,мангал
breach,breach,bruch,লঙ্ঘন,нарушение
breadth,breadth,breite,পানা,ширина
break,break,unterbrechung,বিরতি,ломать
breakable,breakable,zerbrechlich,ভঙ্গুর,ломкий
breakage,breakage,bruch,বিচ্ছেদ,поломка
breaker,breaker,brecher,ঊর্মিভঙ্গ,выключатель
breakfast,breakfast,frühstück,ব্রেকফাস্ট,завтрак
breakout,breakout,ausbrechen,ব্রেকআউট,прорыв
breakup,breakup,beenden,বিচ্ছিন্ন,расставаться
breast,breast,brust,স্তন,грудь
breastfeed,breastfeed,stillen,বুকের দুধ,грудное вскармливание
breastfeeding,breastfeeding,stillen,স্তন্যপান করানো,грудное вскармливание
breastplate,breastplate,brustplatte,উরশ্ছদ,нагрудник
breasts,breasts,brüste,স্তন,грудь
breaststroke,breaststroke,brustschwimmen,ব্রেস্টস্ট্রোক,брасс
breathe,breathe,atmen,শ্বাস ফেলা,дышать
breathed,breathed,geatmet,নিঃশ্বাস ত্যাগ,вдохнул
breather,breather,verschnaufpause,সাময়িক বিশ্রাম,сапун
breathing,breathing,atmung,শ্বাসক্রিয়া,дыхание
breathless,breathless,atemlos,রূদ্ধশ্বাস,задыхающийся
breathtaking,breathtaking,atemberaubend,উত্তেজনাপূর্ণ,захватывающий
bred,bred,gezüchtet,পুষ্ট,разводятся
breeches,breeches,hose,পাজামাবিশেষ,бриджи
breeze,breeze,brise,মৃদুমন্দ বাতাস,ветер
breezy,breezy,luftig,ঝরঝরে,свежий
brethren,brethren,brüder,গুরুভাই,братия
brevity,brevity,kürze,সংক্ষিপ্ততা,краткость
brew,brew,brauen,ফন্দি আঁটা,заваривать
brewer,brewer,brauer,শুঁড়ী,пивовар
brewing,brewing,brauen,বানানোর,пивоварение
bribable,bribable,bestechlich,বিক্রেয়,продажный
bricklayer,bricklayer,maurer,রাজমিস্ত্রি,каменщик
bricklaying,bricklaying,maurerarbeiten,ইটভাটার,кладка кирпича
bridal,bridal,braut-,দাম্পত্য,свадебный
bridegroom,bridegroom,bräutigam,বর,жених
bridge,bridge,brücke,সেতু,мост
bridged,bridged,überbrückt,সেতু নির্মাণ,мостиком
bridging,bridging,überbrückung,গণনার জমকালো অনুষ্ঠান,шунтирование
briefcase,briefcase,aktentasche,ব্রিফকেস,портфель
briefing,briefing,anweisung,ব্রিফিংয়ে,брифинг
briefly,briefly,kurz,সংক্ষেপে,кратко
bright,bright,hell,উজ্জ্বল,яркий
brightening,brightening,aufhellung,উদ্ভাসন,подсветка
brightly,brightly,hell,টকটকে,ярко
brightness,brightness,helligkeit,উজ্জ্বলতা,яркость
brilliant,brilliant,brillant,উজ্জ্বল,блестящий
brimming,brimming,randvoll,উদ্বেল,наполняясь
brimstone,brimstone,schwefel,গন্ধক,сера
bristly,bristly,borstig,অমসৃণ,щетинистый
broadband,broadband,breitband,ব্রডব্যান্ড,широкополосный
broadcast,broadcast,übertragung,ব্রডকাস্ট,широковещательный
broadcaster,broadcaster,sender,ঘোষক,передатчик
broaden,broaden,erweitern,উদার করা,расширять
broadleaf,broadleaf,breitblättrig,সূঁচালো,широколиственных
broadly,broadly,breit,বিস্তৃতভাবে,широко
broadness,broadness,breite,অশিষ্টতা,грубость
broadside,broadside,breitseite,রণপোতের একপার্শ্বস্থিত সমুদয় কামান,бортовой залп
broccoli,broccoli,brokkoli,ব্রোকলি,брокколи
broiling,broiling,grillen,রান্নার,поджаривание
broke,broke,pleite,কপর্দকশূন্য,сломал
broken,broken,gebrochen,ভাঙা,сломанный
brooch,brooch,brosche,ব্রোচ,брошь
brood,brood,brut,শাবক,выводок
brooder,brooder,brutkäfer,ব্রুডার,брудер
brooding,brooding,grübeln,ব্রীডিং,задумчивый
brook,brook,bach,সহ্য করা,ручей
brotherhood,brotherhood,bruderschaft,ভ্রাতৃত্ব,братство
browbeat,browbeat,brauenschlag,শাসান,запугивать
brownie,brownie,schokoladenkuchen,ক্ষুদ্রকায় সুশীলা পরীবিশেষ,домовой
browse,browse,durchsuche,ব্রাউজ,просматривать
bruising,bruising,blutergüsse,চূর্ণ,кровоподтеки
brunt,brunt,hauptlast,ধকল,главный удар
brushed,brushed,gebürstet,মাজা,щетка
brutality,brutality,brutalität,পশুত্ব,зверство
brutally,brutally,brutal,নির্মমভাবে,жестоко
bubbling,bubbling,brodelt,সাড়া জাগানো,кипение
bubbly,bubbly,sprudelnd,বুদ্বুদপূর্ণ,пузырчатый
buck,buck,bock,হরিণ,доллар
bucket,bucket,eimer,বালতি,ведро
buckwheat,buckwheat,buchweizen,বাজরা,гречиха
buddhism,buddhism,buddhismus,বৌদ্ধধর্ম,буддизм
buffalo,buffalo,büffel,মহিষ,буйвол
buffer,buffer,puffer,বাফার,буфер
buffing,buffing,polieren,একযোগে,полирование
bug,bug,fehler,বাগ,ошибка
bugle,bugle,horn,ভেঁপু,горн
buildable,buildable,baubar,তৈরি করার যোগ্য,работоспособна
builder,builder,erbauer,নির্মাতা,строитель
bulge,bulge,ausbuchtung,স্ফীতি,выпуклость
bull,bull,stier,ষাঁড়,бык
bulldog,bulldog,bulldogge,কুকুরবিশেষ,бульдог
bulldoze,bulldoze,planieren,মিথ্যা শাসান,принуждать
bullet,bullet,kugel,গুলি,пуля
bulletin,bulletin,bekanntmachung,বুলেটিন,бюллетень
bullfight,bullfight,stierkampf,মানুষ ত্ত ষাঁড়ের লড়াই,бой быков
bullfighter,bullfighter,stierkämpfer,মানুষ ষাঁড়ের লড়াই করে,тореадор
bullhorn,bullhorn,megaphon,ষাঁড়ের শিঙের,мегафон
bullion,bullion,goldbarren,জরির ঝালর,слиток
bummer,bummer,schade,অকর্মা,лентяй
bun,bun,brötchen,বান,булочка
bunch,bunch,bündel,গুচ্ছ,гроздь
bungle,bungle,verpfuschen,অকার্য,неумело
bungler,bungler,stümper,আনাড়ী কর্মী,растяпа
bunk,bunk,koje,পালান,койка
burden,burden,belastung,বোঝা,бремя
burdensome,burdensome,beschwerlich,দুর্বহ,обременительный
bureau,bureau,büro,অফিস,бюро
bureaucracy,bureaucracy,bürokratie,আমলাতন্ত্র,бюрократия
burgundy,burgundy,burgund,বক্তবর্ণ মদ্যবিশেষ,бургундия
burial,burial,beerdigung,সমাধি,захоронение
burlesque,burlesque,burleske,প্যারডি,бурлеск
burly,burly,stämmig,মোটাসোটা,дородный
burn,burn,brennen,পোড়া,жечь
burner,burner,brenner,দহনকারী,горелка
burr,burr,grat,চোরকাঁটা,заусенец
burrow,burrow,bau,গর্ত করা,нора
burst,burst,platzen,বিস্ফোরণ,взрыв
bury,bury,begraben,সমাহিত করা,закапывать
bush,bush,buchse,গুল্ম,куст
bushel,bushel,scheffel,শুষ্ক দ্রব্যের পরিমাণবিশেষ,бушель
businessman,businessman,geschäftsmann,ব্যবসায়ী,бизнесмен
bust,bust,büste,বক্ষ,бюст
bustling,bustling,geschäftig,শশব্যস্ততা,суетливый
busy,busy,beschäftigt,ব্যস্ত,занятый
butt,butt,hintern,গুঁতা,приклад
butterfly,butterfly,schmetterling,প্রজাপতি,бабочка
buttery,buttery,buttrig,মাখনের ন্যায়,маслянистый
buttock,buttock,gesäß,পাছা,ягодица
buttocks,buttocks,gesäß,নিতম্ব,ягодицы
buttoned,buttoned,geknöpft,মুখচাপা,застегнутый
buttonhole,buttonhole,knopfloch,বোতামের ঘর,бутоньерка
buttress,buttress,stütze,আলম্ব,подпирать
buy,buy,kaufen,কেনা,купить
buyer,buyer,käufer,ক্রেতা,покупатель
buzz,buzz,summen,গুঁজন,жужжание
buzzer,buzzer,summer,হর্ণ,зуммер
by,by,durch,দ্বারা,от
bygone,bygone,vergangen,অতীত,пережитый
byproduct,byproduct,nebenprodukt,উপজাত,побочный продукт
bystander,bystander,zuschauer,নিরীক্ষক,свидетель
byway,byway,nebenweg,উপায় দ্বারা,малоизученная область
cab,cab,taxi,ট্যাক্সি,такси
cabbage,cabbage,kohl,বাঁধাকপি,капуста
cabby,cabby,kutscher,গাড়োয়ান,извозчик
cabin,cabin,kabine,কেবিন,кабина
cable,cable,kabel,তারের,кабель
cableway,cableway,seilbahn,কেবলওয়ে,фуникулер
cache,cache,zwischenspeicher,ক্যাশে,кэш
cactus,cactus,kaktus,ফণীমনসা,кактус
cadence,cadence,kadenz,সুরের মুর্ছনা,каденция
cadet,cadet,kadett,যুদ্ধবিদ্যাশিক্ষার্থী,кадет
caffeine,caffeine,koffein,ক্যাফিন,кофеин
cage,cage,käfig,খাঁচা,клетка
cagey,cagey,käfig,সুচতুর,скрытный
cake,cake,kuchen,পিষ্টক,кекс
calamity,calamity,unglück,ক্লেশ,бедствие
calcification,calcification,verkalkung,জমাটকরণ,обызвествление
calculate,calculate,berechnung,গণনা করা,подсчитывать
calculated,calculated,berechnet,গণিত,вычисленный
calculating,calculating,berechnen,গণক,расчета
calculus,calculus,infinitesimalrechnung,পাথুরি,исчисление
calendar,calendar,kalender,পাঁজি,календарь
calf,calf,kalb,বাছুর,теленок
calibrate,calibrate,kalibrieren,শক্তির পরিমাপ করা,калибровать
calibration,calibration,kalibrierung,ক্রমাঙ্কন,калибровка
calligrapher,calligrapher,kalligraph,খোশনবিশ,каллиграф
callousness,callousness,gefühllosigkeit,নির্মমতা,бессердечность
calves,calves,kälber,বাছুরের,телята
camaraderie,camaraderie,kameradschaft,সহকর্মীদের মধ্যে অন্তরঙ্গতা ত্ত পরম্পরের প্রতি আস্থা,дух товарищества
camel,camel,kamel,উট,верблюд
cameo,cameo,miniatur,খোদাই-করা মূতিযুক্ত মণিবিশেষ,камея
cameraman,cameraman,kameramann,আলোকচিত্র-গ্রহণকারী,кинооператор
camp,camp,lager,শিবির,лагерь
campaign,campaign,kampagne,প্রচারণা,кампания
camper,camper,wohnmobil,ক্যাম্পার,отдыхающий
canal,canal,kanal,খাল,канал
canary,canary,kanarienvogel,হলদে,канарейка
candid,candid,offen,অকপট,беспристрастный
candidly,candidly,offen,অকপটে,чистосердечно
candidness,candidness,offenheit,পক্ষপাতশূন্যতা,откровенность
candied,candied,kandiert,তোষামোদকারী,засахаренный
candor,candor,offenheit,অকপটতা,откровенность
canister,canister,kanister,টিন,канистра
canned,canned,dosen-,ধাতুপাত্রে রক্ষিত,консервированный
cannibalism,cannibalism,kannibalismus,নরমাংসভক্ষণপ্রথা,людоедство
canning,canning,einmachen,চতুর,консервирование
canoe,canoe,kanu,শাল্তি,каноэ
canonization,canonization,heiligsprechung,সিদ্ধাবস্থা,канонизация
cant,cant,kippen,নাকিসুরে কথা,косяк
cantaloupe,cantaloupe,cantaloup-melone,ফুটি,мускусная дыня
canteen,canteen,kantine,ক্যান্টিন,столовая
canvas,canvas,segeltuch,ক্যানভাস,холст
cap,cap,deckel,টুপি,кепка
capacity,capacity,kapazität,ধারণক্ষমতা,вместимость
cape,cape,kap,অন্তরীপ,мыс
caper,caper,kapern,লম্ফ,каперсы
capital,capital,hauptstadt,রাজধানী,столица
capitalist,capitalist,kapitalist,পুঁজিবাদী,капиталистический
capitalize,capitalize,profitieren,নিজ সুবিধার্থে প্রয়োগ করা,капитализировать
capitulation,capitulation,kapitulation,আত্মসমর্পণ,капитуляция
capped,capped,begrenzt,লাভের,ограничен
capsize,capsize,kentern,উলটান,опрокидывание
capsule,capsule,kapsel,ক্যাপসুল,капсула
captain,captain,kapitän,অধিনায়ক,капитан
caption,caption,bildbeschriftung,ক্যাপশন,подпись
captivating,captivating,fesselnd,চিত্তাকর্ষক,пленительный
captive,captive,gefangen,বন্দী,пленник
captivity,captivity,gefangenschaft,বন্দিদশা,неволя
car,car,auto,গাড়ী,автомобиль
caramel,caramel,karamell,দগ্ধ শর্করা,карамель
carbon,carbon,kohlenstoff,কারবন,углерод
carbonate,carbonate,karbonat,অঙ্গারাম্লযুক্তদ্রব্য,карбонат
carcass,carcass,karkasse,পশুর মৃতদেহ,туша
carcinogenic,carcinogenic,krebserregend,ক্যান্সারজনক,канцерогенный
card,card,karte,কার্ড,карта
cardiopulmonary,cardiopulmonary,kardiopulmonal,কার্ডিও,сердечно-легочный
cardiovascular,cardiovascular,herz-kreislauf,কার্ডিওভাসকুলার,сердечно-сосудистый
care,care,pflege,যত্ন,забота
career,career,werdegang,পেশা,карьера
careerist,careerist,karrierist,জীবনে উন্নতিলাভে আগ্রহশীল ব্যক্তি,карьерист
carefree,carefree,sorglos,ভাবনাহীন,беззаботный
careful,careful,vorsichtig,সাবধান,осторожный
carefulness,carefulness,sorgfalt,সাবধানতার,аккуратность
careless,careless,leichtsinnig,উদ্বেগহীন,неосторожный
carelessly,carelessly,nachlässig,অগোছালভাবে,беспечно
carelessness,carelessness,nachlässigkeit,অসতর্কতা,небрежность
caretaker,caretaker,hausmeister,তত্ত্বাবধায়ক,смотритель
cargo,cargo,ladung,জাহাজী মাল,грузовой
caricaturist,caricaturist,karikaturist,ব্যঙ্গাত্মক বর্ণনাকারী,карикатурист
caring,caring,pflege,যত্নশীল,заботливая
carnal,carnal,fleischlich,জাগতিক,плотский
carnation,carnation,nelke,গোলাপী পাতলবর্ণ,гвоздика
carnival,carnival,karneval,ভ্রাম্যমাণ আনন্দমেলা,карнавал
carnivore,carnivore,fleischfresser,মাংসাশী,плотоядное животное
carnivorous,carnivorous,fleischfressend,মাংসাশী,плотоядный
carotene,carotene,carotin,উদ্ভিদে বিদ্যমান পিঙ্গল পদার্থ,каротин
carp,carp,karpfen,দোষারোপ করা,карп
carried,carried,getragen,বাহিত,осуществляется
carry,carry,tragen,বহন,нести
cartilage,cartilage,knorpel,তরুণাস্থি,хрящ
cartographic,cartographic,kartografisch,মানচিত্রবৎ,картографический
cartridge,cartridge,patrone,কার্তুজ,картридж
carve,carve,schnitzen,খুদা,разделывать
cash,cash,kasse,নগদ,денежные средства
casing,casing,gehäuse,খাপ,кожух
casino,casino,kasino,নাচঘর,казино
casserole,casserole,kasserolle,ভাপে সিদ্ধ করার পাত্রবিশেষ,запеканка
cassette,cassette,kassette,ক্যাসেট,кассета
cast,cast,besetzung,নিক্ষেপ,бросать
castaway,castaway,verschollen,পাপাসক্ত,выбрасывать
caste,caste,kaste,জাত,каста
caster,caster,zaubernde,নিক্ষেপকারী,литейщик
casting,casting,gießen,ঢালাই,кастинг
castrate,castrate,kastrieren,খোজা,кастрировать
casualty,casualty,opfer,দুর্ঘটনা,несчастный случай
cataclysm,cataclysm,katastrophe,প্লাবন,катаклизм
cataclysmic,cataclysmic,katastrophal,ভয়ানক,катастрофический
catacomb,catacomb,katakombe,ভুগর্ভস্থ সমাধিক্ষেত্র,катакомба
catalyst,catalyst,katalysator,অনুঘটক,катализатор
catalytic,catalytic,katalytisch,অনুঘটকের,каталитический
catalyze,catalyze,katalysieren,অনুঘটকের,катализировать
catapult,catapult,katapult,গুলতি,катапульта
catatonic,catatonic,katatonisch,ক্যাটাটোনিক,кататонический
catching,catching,fang,সংক্রামক,привлекательный
catechism,catechism,katechismus,প্রশ্নোত্তর,катехизис
categorical,categorical,kategorisch,খুলাখুলি,категорический
categorization,categorization,kategorisierung,শ্রেণীবদ্ধকরণ,категоризации
categorize,categorize,kategorisieren,শ্রেণীভুক্ত করা,классифицировать
catering,catering,gastronomie,ক্যাটারিং,общественное питание
